city,observations,avg_temp_f,avg_windspeed_mph,first_seen_utc,last_seen_utc
Chicago,1,16.0,3.4,2026-01-01T20:39:59+00:00,2026-01-01T20:39:59+00:00
Dallas,1,70.0,9.9,2026-01-01T20:40:02+00:00,2026-01-01T20:40:02+00:00
New York,1,25.1,17.4,2026-01-01T20:39:59+00:00,2026-01-01T20:39:59+00:00
Seattle,1,39.2,1.3,2026-01-01T20:40:04+00:00,2026-01-01T20:40:04+00:00
